id,display_name,country_code
A5017700623,Rinaldo Kühne,NL
A5033471397,Susanne E. Baumgartner,NL
A5037694810,Jochen Peter,NL
A5019007566,Shaun Kellogg,
A5049908505,Ben Lafreniere,CA
A5051092148,Parmit K. Chilana,CA
A5015483503,Michael Terry,CA
A5100781430,Xindi Wang,US
A5031461158,Onur Varol,US
A5080731595,Tina Eliassi‐Rad,US
A5091452530,Francisco Prieto‐Castrillo,US
A5087031929,Dean Knox,US
A5103149967,Qisheng Li,US
A5055890875,Kevin Larson,US
A5090625641,Forrest Hooton,US
A5057129019,Gregory R. Madey,US
A5041992609,Hong Joo Lee,US
A5062163326,Markus Stocker,CH
A5007071871,Thomas Scharrenbach,CH
A5073565809,Yarrow Dunham,US
A5088448789,Federico Battiston,HU
A5013688285,Federico Musciotto,HU
A5054586972,Michael Szell,HU
A5075507724,Jianping Li,US
A5001257783,Su Lin Blodgett,US
A5074825066,Solon Barocas,GB
A5019928111,Hal Daumé,US
A5015694492,Zoltán Kmetty,HU
A5074354806,Ádám Stefkovics,HU
A5101676626,Eun Lee,US
A5076633756,James A. Evans,US
A5075479948,Jörg-Uwe Kietz,CH
A5034927674,Floarea Serban,CH
A5102991788,Simon Fischer,
A5090620447,Jacopo Urbani,NL
A5080699613,Alessandro Margara,NL
A5015694017,Emanuele Della Valle,IT
A5023644163,Jorge Gonçalves,AU
A5028140714,Michael D. Feldman,CH
A5051758652,Subingqian Hu,FI
A5015873569,Vassilis Kostakos,AU
A5057981251,Stephen Kosack,US
A5036998377,Michele Coscia,DK
A5048891845,Evann Smith,US
A5078171883,Kim Albrecht,US
A5072263832,Johan Ugander,IN
A5046030036,Elena Simperl,GB
A5041421536,Natasha Noy,US
A5109078962,Jun Suzuki,JP
A5089594511,Naotoshi Tsukada,JP
A5011588754,Nicholas LaBerge,US
A5048181040,K. Hunter Wapman,US
A5060353395,Robert Laganière,CA
A5011256345,S. Redner,US
A5088553895,Lindsay Heger,US
A5101399912,Harmanpreet Kaur,US
A5014724580,Shamsi T. Iqbal,US
A5032417423,Jaime Teevan,US
A5054940589,Benjamin Lafreniere,CA
A5112460175,Jochen Peter,NL
A5078247174,Zainab Agha,US
A5001989092,Neeraj Chatlani,US
A5076364930,Farnaz Jahanbakhsh,US
A5037569091,Amy X. Zhang,US
A5112581431,Esther Cubo,ES
A5031106143,Adrián Arnaiz-Rodríguez,ES
A5020290167,Álvar Arnaiz‐González,ES
A5015719908,José-Francisco Díez-Pastor,ES
A5012721663,Meredith Spindler,US
A5111561257,Adriana Cardozo,UY
A5060270971,Álvaro García‐Bustillo,ES
A5035628923,Zoltán Mari,US
A5035064433,Bastiaan R. Bloem,NL
A5074213306,Jun Koo,KR
A5018260791,Mark S. Rosentraub,US
A5066259555,Hiroaki Niki,
A5011708220,Patrick Minder,CH
A5045325634,Sven Seuken,CH
A5086068103,Mengia Zollinger,CH
A5037611969,Adam Scharpf,DE
A5018098888,Gerald Schneider,DE
A5074416333,Anna Nöh,DE
A5046561315,Fahad Alhasoun,US
A5033977409,Kael Greco,US
A5038699799,Riccardo Campari,US
A5103326255,Carlo Ratti,US
A5084077919,Shawndra Hill,US
A5037283651,Foster Provost,US
A5063507594,Insoon Yang,KR
A5039489344,Hyeong-Chai Jeong,KR
A5015642017,B. Kahng,KR
A5044190205,Gerald Reif,
A5101810876,David J. Schwab,US
A5110702582,Sidney Redner,US
A5087547837,Tobias Grubenmann,CH
A5065505647,Dmitry Moor,CH
A5079565971,Christina Nathues,CH
A5112445520,Maria-Elena Vargas,CH
A5015159342,Megan Goldberg,US
A5047289699,Mark Boukes,NL
A5011023115,Howard Lavine,US
A5070003596,Mei Wang,DE
A5013343430,Marc Chesney,CH
A5024638669,Tsuyoshi Murase,JP
A5020009396,Kunihiro Oka,JP
A5100601421,Hideki Yoshikawa,JP
A5047408004,Chaoming Song,
A5102105115,Takayuki Iida,JP
A5053751891,Shoya Fukuchi,JP
A5067531250,Kakuro Amasaka,JP
A5090955523,Roberto M. César,
A5020860817,Anna Chmiel,PL
A5036322121,Janusz A. Hołyst,PL
A5102003982,Norihiro Yoshida,JP
A5028175354,Masakazu Ioka,JP
A5112421750,Eunjong Choi,JP
A5102258593,Katsuro Inoue,JP
A5068819495,Luca Pappalardo,
A5059674609,Paolo Cintia,
A5101788615,Matthias Baumgartner,CH
A5100441715,Wei Zhang,CN
A5025549071,Daniele Dell’Aglio,CH
A5102018239,Huajun Chen,CN
A5022603471,Srishti Palani,US
A5103460709,Shane Williams,US
A5015963813,Irina Spiridonova,US
A5007292267,Samantha Ng,CA
A5036173969,Abdul-Hafeed Fakih,CA
A5050467922,Pascal Poupart,CA
A5077041853,John Zelek,CA
A5103560159,Mariela Araujo,US
A5037975948,H. Eugene Stanley,US
A5090624781,István Albert,
A5025059277,P. Schiffer,US
A5085409762,Matthew Turk,US
A5109203386,Christopher R. Wren,US
A5055068182,A. Azarbayejani,US
A5029105520,Trevor Darrell,US
A5030852680,W. Lance Bennett,US
A5054478253,Alexandra Segerberg,
A5028277052,Anita Williams Woolley,US
A5043896474,Christopher F. Chabris,US
A5043737321,Nada Hashmi,US
A5013670125,David Lazer,US
A5013727792,Nuria Oliver,US
A5046823814,Barbara Rosario,US
A5007374520,Michael Conover,US
A5073180325,A. Ratkiewicz,US
A5020318194,Matthew Francisco,US
A5039841997,Bruno Gonçalves,US
A5021346979,Filippo Menczer,US
A5011228873,Alessandro Flammini,US
A5075165921,Gerard George,GB
A5072871852,Martine R. Haas,GB
A5009970175,Li Weng,
A5046546654,Alessandro Vespignani,
A5070348998,Irfan Essa,US
A5078699564,Emilio Ferrara,US
A5050099046,Clayton A. Davis,US
A5102851268,Juyang Weng,US
A5020224649,James L. McClelland,US
A5002202464,Olaf Sporns,US
A5081302896,Ida J. Stockman,US
A5024300858,Mriganka Sur,US
A5052387000,Esther Thelen,US
A5088509282,Jannis Kallinikos,GB
A5079161259,Aleksi Aaltonen,FI
A5042731872,Attila Márton,DK
A5105528213,Baback Moghaddam,US
A5068077704,Tony Jebara,US
A5063327692,Chengcheng Shao,US
A5056583184,Giovanni Luca Ciampaglia,US
A5054574752,Kai‐Cheng Yang,US
A5054721267,Mark Meiss,US
A5046782003,Snehal Patil,US
A5048877432,Bruno Lepri,IT
A5112523317,Emmanuel Letouzé,US
A5052308997,Patrick Vinck,US
A5048232579,Nadav Aharony,US
A5100721259,Wei Pan,US
A5070667310,Cory Ip,US
A5087912116,Inas S. Khayal,US
A5042663603,Stan Sclaroff,US
A5103033624,D. Olguı́n,US
A5063502960,Benjamin N. Waber,US
A5051006703,Taemie Kim,US
A5062431621,Aravind Mohan,US
A5113121922,K. Ara,JP
A5048471401,Filippo Radicchi,US
A5022601229,B. Horowitz,US
A5014750352,Harris R. Lieberman,US
A5041269206,Jordi Quoidbach,US
A5024419925,Florent Robic,FR
A5077561974,Shawn Walker,US
A5006314379,Anastasia Kozyreva,DE
A5068556395,Ralph Hertwig,DE
A5053938061,Santo Fortunato,IT
A5067087157,Galen Pickard,US
A5009232244,Iyad Rahwan,US
A5017095669,Manuel Cebrián,US
A5009434750,Riley Crane,US
A5066060283,Anmol Madan,US
A5077072350,Pik-Mai Hui,US
A5016893860,Lei Wang,US
A5054619352,Xinwen Jiang,CN
A5051563238,Mirella Salvatore,
A5079593682,Alessandro Ferrara,
A5066450158,Simone Rossi,
A5076132658,Riccardo Biancalani,
A5020685414,Sandro Federici,
A5004283810,Heather Jacobs,
A5100721253,Wei Pan,US
A5019813501,Coco Krumme,US
A5025218700,Amit Goldenberg,US
A5051095866,James J. Gross,US
A5101884415,Dimitar Nikolov,US
A5028367820,Diego F. M. Oliveira,US
A5016767305,Azadeh Nematzadeh,US
A5013385420,Francesco Pierri,IT
A5037994930,Brea L. Perry,US
A5070356107,Matthew DeVerna,US
A5031312546,John Bryden,US
A5023810719,Sabina Čehajić‐Clancy,BA
A5042631896,Eran Halperin,IL
A5088539840,Esteban Moro,US
A5014881285,Dan Calacci,US
A5101579932,Xiaowen Dong,US
A5046036512,Kazutoshi Sasahara,JP
A5101932477,Wen Chen,US
A5059015074,Hao Peng,US
A5011899466,Wendy L. Bennett,
A5033831688,Alberto Acerbi,GB
A5112865513,Sacha Altay,GB
A5072330860,Hugo Mercier,FR
A5041336256,Qi Su,US
A5089055856,Alex McAvoy,US
A5057292858,Yoichiro Mori,US
A5073702596,Joshua B. Plotkin,US
A5006511244,Sam Wineburg,US
A5025069859,Alessia Antelmi,IT
A5084267145,Gennaro Cordasco,IT
A5009738158,Mirko Polato,IT
A5036057602,Vittorio Scarano,IT
A5014031647,Carmine Spagnuolo,IT
A5026625771,Dingqi Yang,MO
A5008439962,Stefan M. Herzog,DE
A5026949484,Philipp Lorenz-Spreen,DE
A5032408800,Mark Leiser,NL
A5037475402,Jason Reifler,GB
A5012407920,Joseph Stubbersfield,GB
A5073765948,Alia Braley,US
A5022017615,Dhaval Adjodah,US
A5089691952,Hossein Rahnama,US
A5031514121,Almog Simchon,GB
A5003587835,Matthew Edwards,GB
A5058593348,Jared R. Curhan,US
A5083027866,B. Moghaddam,JP
A5089286955,Wasim Wahid,US
A5086291379,Tonmoy Choudhury,US
A5044181099,Sven Dickinson,CA
A5110520108,Azriel Rosenfeld,US
A5101672405,John Williams,US
A5042273441,Agnes Shook Cheong Chang,US
A5112666355,Lindsey Holland,US
